"DAT","Trait","mean","sd","lambda"
"21","VNIR_Plant_Spectrum_X351.44","0.0196319093432642","0.00624725130764978","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X352.58","0","0","1.9999576112975"
"21","VNIR_Plant_Spectrum_X353.72","0.000389067292403917","0.000132409083113752","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X354.86","0.00276609114390689","0.00108000644449376","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X356","0.00576120529198676","0.00161279545373507","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X357.15","0.00244975222199382","0.000626749585179525","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X358.29","0","0","1.9999576112975"
"21","VNIR_Plant_Spectrum_X359.43","7.35537143541108e-13","2.30952504497463e-13","0.868132325716331"
"21","VNIR_Plant_Spectrum_X360.57","0","0","1.9999576112975"
"21","VNIR_Plant_Spectrum_X361.72","0.00720554766215518","0.0022696611182314","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X362.86","2.20050260402526e-14","6.41868169173137e-15","-0.291863866468435"
"21","VNIR_Plant_Spectrum_X364","5.66361287085013e-16","1.71570127402983e-16","0.83332838990784"
"21","VNIR_Plant_Spectrum_X365.14","0.00088472776840245","0.000309961311063798","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X366.29","0.00531178430362104","0.00154436575437363","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X367.43","0","0","1.9999576112975"
"21","VNIR_Plant_Spectrum_X368.57","0","0","1.9999576112975"
"21","VNIR_Plant_Spectrum_X369.71","0","0","1.9999576112975"
"21","VNIR_Plant_Spectrum_X370.86","0.00755872429239162","0.00174185465897775","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X372","0","0","1.9999576112975"
"21","VNIR_Plant_Spectrum_X373.14","0.0143604573171952","0.00430985564900991","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X374.28","0","0","1.9999576112975"
"21","VNIR_Plant_Spectrum_X375.43","0","0","1.9999576112975"
"21","VNIR_Plant_Spectrum_X376.57","0.00232903108223971","0.000621879411182174","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X377.71","0.000904553791655806","0.000248656136761268","1.9999576112975"
"21","VNIR_Plant_Spectrum_X378.85","0","0","1.9999576112975"
"21","VNIR_Plant_Spectrum_X380","0.00248130964082921","0.000765563769093047","1.9999576112975"
"21","VNIR_Plant_Spectrum_X381.14","3.99015688722418e-15","1.14488568744605e-15","0.916627610460629"
"21","VNIR_Plant_Spectrum_X382.28","0.00106026259628692","0.000337830168437907","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X383.42","9.9538711745537e-16","4.08035002991724e-16","0.884568976041609"
"21","VNIR_Plant_Spectrum_X384.57","0","0","1.9999576112975"
"21","VNIR_Plant_Spectrum_X385.71","0.00335421266677617","0.000901802500929776","0.902375004072849"
"21","VNIR_Plant_Spectrum_X386.85","0.000290756068123635","8.601736206686e-05","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X387.99","0","0","1.9999576112975"
"21","VNIR_Plant_Spectrum_X389.14","0.000511718198427093","0.000175363543410725","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X390.28","0.000558222676153628","0.000119690234234963","1.9999576112975"
"21","VNIR_Plant_Spectrum_X391.42","0","0","1.9999576112975"
"21","VNIR_Plant_Spectrum_X392.56","0","0","1.9999576112975"
"21","VNIR_Plant_Spectrum_X393.71","0.000684572151662267","0.00017626491611234","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X394.85","0","0","1.9999576112975"
"21","VNIR_Plant_Spectrum_X395.99","0.00508581920884683","0.00153012080642706","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X397.13","0","0","1.9999576112975"
"21","VNIR_Plant_Spectrum_X398.28","0.000161811822174616","4.91602422563509e-05","1.9999576112975"
"21","VNIR_Plant_Spectrum_X399.42","0","0","1.9999576112975"
"21","VNIR_Plant_Spectrum_X400.56","0.000594416992710984","0.000198950409753967","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X401.7","0","0","1.9999576112975"
"21","VNIR_Plant_Spectrum_X402.85","0.00275806493610877","0.000987225182086836","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X403.99","0","0","1.9999576112975"
"21","VNIR_Plant_Spectrum_X405.13","2.1097880064288e-15","6.27177618259522e-16","0.949938491712926"
"21","VNIR_Plant_Spectrum_X406.27","0","0","1.9999576112975"
"21","VNIR_Plant_Spectrum_X407.41","0.00342042599123262","0.00100497321037423","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X408.55","0.00206701637512971","0.000616541407379116","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X409.7","0.00394533047272826","0.000956386261237613","1.9999576112975"
"21","VNIR_Plant_Spectrum_X410.84","0.000936240762548894","0.000261039047352983","1.9999576112975"
"21","VNIR_Plant_Spectrum_X411.98","0.00388345677519355","0.00119778490762309","1.9999576112975"
"21","VNIR_Plant_Spectrum_X413.12","0.00217322441296857","0.000790816698465478","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X414.26","0.0019387370558598","0.000628788458985319","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X415.4","0.000231639831483152","6.89753740527542e-05","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X416.54","0.00170786582120443","0.000564299054063149","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X417.68","0.00189032822696308","0.000675809994465004","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X418.83","0.00288725559272821","0.00114872373554957","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X419.97","0.00240095427759452","0.000853357021263007","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X421.11","0.00203103054847886","0.000671602979457179","1.64392345543086"
"21","VNIR_Plant_Spectrum_X422.25","0.00354065717063776","0.0012070954322506","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X423.39","0.00106401379863616","0.000328988639905094","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X424.53","0.00431497376427366","0.00130543943438242","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X425.67","0.00191685670824211","0.000733255484469697","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X426.81","0.00221785697374118","0.000807824057373475","1.9999576112975"
"21","VNIR_Plant_Spectrum_X427.96","0.002442364763201","0.000979133700222874","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X429.1","0.0046544575539708","0.00154272720988084","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X430.24","0.00292657510514803","0.000964539718114442","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X431.38","0.00407649756061341","0.00117234878219657","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X432.52","0.00270665758478031","0.000853539571702693","1.9999576112975"
"21","VNIR_Plant_Spectrum_X433.66","0.00310381493242026","0.00115474252916339","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X434.8","0.00437167016268163","0.00153723041915969","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X435.94","0.00441526669145946","0.00158431395477429","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X437.09","0.00334134217619784","0.00133834820008839","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X438.23","0.00337119820211969","0.00131188229849361","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X439.37","0.0038130607983092","0.001386202797201","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X440.52","0.00349718338361314","0.00140140639041374","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X441.66","0.00368593863809594","0.00138729884563841","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X442.8","0.00481911939861205","0.00168027550968705","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X443.95","0.00575265046578351","0.00205657782064842","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X445.09","0.00387807276089871","0.00154727862416754","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X446.23","0.00421233615467593","0.00158007333018821","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X447.37","0.0044287669409797","0.00179722568942438","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X448.52","0.00493566775388481","0.00189043744289742","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X449.66","0.00433057389160951","0.00159954873768885","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X450.8","0.00520017413727567","0.00185634238964976","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X451.95","0.00468972728911305","0.0016040657929827","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X453.09","0.00420391970274725","0.00170776287837364","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X454.23","0.00467197628156012","0.00189939903398307","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X455.38","0.00500705011845922","0.00187241303966152","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X456.52","0.00590088002143704","0.00193250159701701","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X457.66","0.00331741265662093","0.00142720562045887","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X458.8","0.0042943259140465","0.00159018326720069","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X459.95","0.00469317082579402","0.00193617751281017","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X461.09","0.00527640918698245","0.00185186638899604","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X462.23","0.00400369273595247","0.00151614250432101","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X463.38","0.00501032966564011","0.00176067404790721","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X464.52","0.00455536315183204","0.00178390183793435","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X465.66","0.00454059834911232","0.00176535706303563","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X466.81","0.0051413048877234","0.00166852522740469","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X467.95","0.00414338989167896","0.00162068583042509","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X469.09","0.00474684813827852","0.00167679782740044","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X470.23","0.00549262114364805","0.00192006757389544","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X471.38","0.00493587839805632","0.00188224742830264","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X472.52","0.00466107921772902","0.00167446796748953","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X473.66","0.00597483622158786","0.00180862117908973","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X474.81","0.00539686941690511","0.00196989788032783","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X475.95","0.00454875678834407","0.00167363061745757","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X477.09","0.00543628426130826","0.00189346189386691","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X478.24","0.0046395907673423","0.00169615987102203","-0.999957596396336"
"21","VNIR_Plant_Spectrum_X479.38","0.00532366977672888","0.00192132796749894","-0.999957596396336"
