"DAT","Trait","Intercept","Gvar","Expvar","GxEvar","Repvar","evar","H2","WL"
21,"VNIR_Plant_Spectrum_X351.44",0.226112516058179,0.000207928960889144,0.000669449286873498,2.89524937560243e-16,0,0.00249132275852844,0.0617237803238748,351.44
21,"VNIR_Plant_Spectrum_X352.58",0.224839037621458,0,0.000276090507127456,0.000294602652865193,0.000201173764292158,0.00178307476000569,0,352.58
21,"VNIR_Plant_Spectrum_X353.72",0.22277311400081,3.65998148649169e-06,0.000708075330130046,0,0.000283355543828721,0.00187455476386704,0.00127541235818825,353.72
21,"VNIR_Plant_Spectrum_X354.86",0.21922975650128,3.10052220381646e-05,0.00068064003735953,0.000204189007296487,0.000259229675692195,0.00150078260419127,0.0115870702966206,354.86
21,"VNIR_Plant_Spectrum_X356",0.220877350509857,4.40496367232703e-05,0.000508613620486857,9.33330735593588e-05,0.000122509708111869,0.00170574626775593,0.0178032113398885,356
21,"VNIR_Plant_Spectrum_X357.15",0.211701679702691,1.64639166697703e-05,0.000539687901886843,0.000119826319322616,0.000118976146623714,0.00160617102823486,0.00685675028388995,357.15
21,"VNIR_Plant_Spectrum_X358.29",0.210540890241894,0,0.000438831312807564,0.000131676871520511,0.000111551780680751,0.00142983516012315,0,358.29
21,"VNIR_Plant_Spectrum_X359.43",0.209821158582868,6.69650593809359e-15,0.000375358653212569,0.000287885082558392,0.000232605177354906,0.00158306456637498,2.70138752056159e-12,359.43
21,"VNIR_Plant_Spectrum_X360.57",0.216714243783931,0,0.000844826686245127,0.000235988570575388,0.000243254165781169,0.00154259344297956,0,360.57
21,"VNIR_Plant_Spectrum_X361.72",0.200489238562441,6.14097986261744e-05,0.000120224815018705,0.000171588004465023,0.000109794718753889,0.0014210472226785,0.0325943175965759,361.72
21,"VNIR_Plant_Spectrum_X362.86",0.205855948559783,1.7415163342029e-16,0.000655846281312336,0.000408211541800365,6.29072741532897e-05,0.00124787026220364,7.33320870964166e-14,362.86
21,"VNIR_Plant_Spectrum_X364",0.204275657590417,5.18729093208132e-18,0.000298295955791139,9.23692761726368e-05,0,0.00155082018027532,2.67181555904602e-15,364
21,"VNIR_Plant_Spectrum_X365.14",0.219302384405283,8.98272332918436e-06,0.000103071973891845,2.37202684235417e-05,2.77124016733912e-05,0.00253187808863927,0.0033326550614244,365.14
21,"VNIR_Plant_Spectrum_X366.29",0.198202868015219,4.87276667021388e-05,0.000466019923238546,5.81536419798415e-17,0.000452850318705754,0.0020476733674808,0.0161602928028163,366.29
21,"VNIR_Plant_Spectrum_X367.43",0.192626678646856,0,0.000327140868799673,0,0.000140725904549485,0.00125560555177515,0,367.43
21,"VNIR_Plant_Spectrum_X368.57",0.195019503316919,0,0.000268827753849264,7.93102572599383e-05,8.98526463804817e-05,0.00113314507048499,0,368.57
21,"VNIR_Plant_Spectrum_X369.71",0.181280880567703,0,0.000466697127824981,0.000100189415639155,0,0.00108719673139691,0,369.71
21,"VNIR_Plant_Spectrum_X370.86",0.177349604181328,3.76049120668287e-05,3.42374606727583e-05,0,9.22011509703227e-05,0.00112732559678542,0.0291201883876584,370.86
21,"VNIR_Plant_Spectrum_X372",0.176182797859584,0,0.00012280941593158,0.000122586400340789,2.02500133878015e-16,0.000890943204325741,0,372
21,"VNIR_Plant_Spectrum_X373.14",0.164124383526294,9.26597726873785e-05,0.000283899442155307,6.40234915728252e-05,9.67895076082182e-05,0.000715530185421164,0.0739560980395855,373.14
21,"VNIR_Plant_Spectrum_X374.28",0.159650437705788,5.97250371968911e-20,5.51073698605471e-05,1.56469805473873e-06,1.47161129260302e-17,0.00108379694040547,5.23688383999406e-17,374.28
21,"VNIR_Plant_Spectrum_X375.43",0.151579192704561,0,0.000111013771797366,3.37301441465166e-22,0.000145972068137875,0.000556972240927007,0,375.43
21,"VNIR_Plant_Spectrum_X376.57",0.150587614437284,1.02518482316318e-05,4.18308846189995e-05,9.36148000898105e-05,4.46659917894486e-05,0.000516038857395037,0.0145127599949383,376.57
21,"VNIR_Plant_Spectrum_X377.71",0.143719955942424,3.83789209160207e-06,7.01054052059361e-06,0.000110107875467929,2.48434677942644e-05,0.000443504820769555,0.00651257789852421,377.71
21,"VNIR_Plant_Spectrum_X378.85",0.128782698040778,0,1.18056514571953e-05,4.04293587592309e-05,2.82631018644198e-05,0.000441361713037314,0,378.85
21,"VNIR_Plant_Spectrum_X380",0.120813824343974,9.38823117553839e-06,1.72871279176865e-05,0,1.49807473213311e-05,0.00041953231645711,0.0203566063455822,380
21,"VNIR_Plant_Spectrum_X381.14",0.120629752209529,1.59281427140055e-17,4.65580624302026e-05,8.62993610033894e-05,0,0.000399854439251225,2.99001089139045e-14,381.14
21,"VNIR_Plant_Spectrum_X382.28",0.110926821872319,4.31070163899396e-06,8.9217043216208e-05,9.84928083163982e-06,1.86395946568884e-05,0.000442212560507462,0.00763998351253451,382.28
21,"VNIR_Plant_Spectrum_X383.42",0.108606853313679,4.98606182341544e-18,1.52118032682825e-05,1.47743243368555e-05,0,0.000347120721546823,1.32218808399478e-14,383.42
21,"VNIR_Plant_Spectrum_X384.57",0.105662388120585,0,5.82433988133961e-05,1.06669457248637e-05,2.57703280433619e-05,0.000308603520808812,0,384.57
21,"VNIR_Plant_Spectrum_X385.71",0.098085090615713,9.69498268438768e-06,5.64584838245415e-05,0,4.2264415697653e-19,0.000333780027110725,0.0242414872448963,385.71
21,"VNIR_Plant_Spectrum_X386.85",0.0920095550783554,8.54228181624954e-07,4.25398371833723e-05,2.31520734230121e-05,1.98481642610923e-05,0.000218115054040529,0.00280526086222538,386.85
21,"VNIR_Plant_Spectrum_X387.99",0.092898668687956,0,0.000124551775991198,1.54522466381337e-05,3.37416858673725e-05,0.000222746429397992,0,387.99
21,"VNIR_Plant_Spectrum_X389.14",0.086601020431118,1.67365904380297e-06,7.23942213883848e-05,3.21789433276187e-05,3.24546984622671e-18,0.000208589659356359,0.00531596283644618,389.14
21,"VNIR_Plant_Spectrum_X390.28",0.0845445647177235,1.14250971293413e-06,5.69662274558519e-05,2.43164370381716e-05,0,0.000229763739941582,0.00365967419455043,390.28
21,"VNIR_Plant_Spectrum_X391.42",0.0799233953399828,0,5.40019223648579e-05,2.62316394807472e-05,7.84029864366003e-06,0.000141851043692928,0,391.42
21,"VNIR_Plant_Spectrum_X392.56",0.077171834166215,1.22861326504613e-19,1.45607358919186e-05,0,1.3950985037952e-05,0.000197162058081099,5.44420034277181e-16,392.56
21,"VNIR_Plant_Spectrum_X393.71",0.0741212819656349,1.16683827408516e-06,9.6368576488801e-06,0,0,0.000135515597789091,0.00797460296918463,393.71
21,"VNIR_Plant_Spectrum_X394.85",0.0696256134760147,0,4.67670591589899e-05,2.37776051288784e-05,0,0.000123913359274651,0,394.85
21,"VNIR_Plant_Spectrum_X395.99",0.0668005108856551,1.2773425610422e-05,5.06652029462869e-05,1.89511793924522e-05,4.76024846803562e-06,0.000118224623813773,0.0621957175833785,395.99
21,"VNIR_Plant_Spectrum_X397.13",0.0665330352898906,0,1.41027443845346e-05,1.28570797814452e-05,0,0.00010202763437326,0,397.13
21,"VNIR_Plant_Spectrum_X398.28",0.0654796487200318,2.83590985814713e-07,8.89454107176357e-05,9.93776249141501e-07,0,0.000103068834192215,0.00146716654006826,398.28
21,"VNIR_Plant_Spectrum_X399.42",0.0635496836803273,0,1.09577460375869e-05,1.90144472921099e-05,4.96945881548738e-06,0.000100639646815605,0,399.42
21,"VNIR_Plant_Spectrum_X400.56",0.0613965125521758,1.30132017890791e-06,4.43797968165502e-06,1.9083743357187e-05,7.96558734145335e-06,7.16209552193785e-05,0.0124636082904072,400.56
21,"VNIR_Plant_Spectrum_X401.7",0.060696187104227,0,2.10662433437927e-05,1.46412582462108e-05,1.18774810438187e-06,7.4439778403287e-05,0,401.7
21,"VNIR_Plant_Spectrum_X402.85",0.0571011559892772,6.07264021729157e-06,1.25170212939154e-05,4.55604462067881e-06,0,8.6543126611771e-05,0.0553624290221353,402.85
21,"VNIR_Plant_Spectrum_X403.99",0.0563379149256494,0,2.9767496846755e-05,2.15721335422396e-05,1.59104355532226e-06,6.60016136791369e-05,0,403.99
21,"VNIR_Plant_Spectrum_X405.13",0.0550930625348106,3.981338793924e-18,1.38426570620054e-06,2.61179678357707e-05,5.09124012993986e-18,4.99903519979965e-05,5.13770287335439e-14,405.13
21,"VNIR_Plant_Spectrum_X406.27",0.0516551321129558,0,5.71839736366179e-06,0,9.76919815790014e-06,5.20647169181517e-05,0,406.27
21,"VNIR_Plant_Spectrum_X407.41",0.051803035626068,4.80742011475358e-06,3.22172522564733e-05,0,0,5.47808850118873e-05,0.0523652407521662,407.41
21,"VNIR_Plant_Spectrum_X408.55",0.0490982070699106,2.84848780396483e-06,1.96114779640852e-05,8.00841682749007e-07,3.90353446587095e-06,4.77421871494229e-05,0.0380272299288024,408.55
21,"VNIR_Plant_Spectrum_X409.7",0.05003337014606,4.63783893057626e-06,2.16152334552023e-05,5.54492722058978e-06,3.27770726865686e-06,3.97224935085055e-05,0.0620046860324922,409.7
